,beta,HR (95% CI for HR),wald.test,p.value
MXI1,-1.6,0.21 (0.14-0.3),72,1.90E-17
TNFRSF11B,0.49,1.6 (1.5-1.8),72,2.20E-17
LOC100130776,0.62,1.9 (1.6-2.1),70,7.60E-17
FAM109B,1.2,3.3 (2.4-4.4),62,2.70E-15
FAM190B,-1.8,0.16 (0.1-0.25),62,3.00E-15
GLUD1,-1.4,0.25 (0.18-0.35),62,3.90E-15
TDH,-0.69,0.5 (0.42-0.6),61,4.90E-15
SMOC1,-0.4,0.67 (0.6-0.74),61,6.80E-15
CMYA5,0.52,1.7 (1.5-1.9),60,9.90E-15
PODNL1,0.62,1.9 (1.6-2.2),60,1.20E-14
VAV3,0.49,1.6 (1.4-1.8),59,1.60E-14
EMP3,0.47,1.6 (1.4-1.8),59,1.70E-14
COL8A1,0.42,1.5 (1.4-1.7),58,3.00E-14
CD101,0.83,2.3 (1.9-2.8),58,3.20E-14
FKBP9L,0.61,1.8 (1.6-2.2),56,7.60E-14
RAB18,-2.1,0.12 (0.067-0.21),55,1.40E-13
GPX8,0.45,1.6 (1.4-1.8),54,1.60E-13
IGF2BP3,0.38,1.5 (1.3-1.6),54,1.80E-13
SH2D4A,0.51,1.7 (1.5-1.9),54,2.10E-13
MSN,0.88,2.4 (1.9-3.1),54,2.20E-13
IGF2BP2,0.35,1.4 (1.3-1.6),54,2.40E-13
PHYHIPL,-0.85,0.43 (0.34-0.54),53,2.70E-13
B3GNT7,0.7,2 (1.7-2.4),53,2.70E-13
HFE,0.91,2.5 (1.9-3.2),53,3.20E-13
LOC145837,-0.89,0.41 (0.32-0.52),53,3.30E-13
SSFA2,1.3,3.8 (2.6-5.4),52,5.60E-13
KCTD14,0.99,2.7 (2-3.5),52,6.10E-13
GALNT13,-0.47,0.63 (0.55-0.71),52,6.70E-13
PDLIM4,0.49,1.6 (1.4-1.9),51,9.10E-13
RANBP17,-0.48,0.62 (0.54-0.7),50,1.40E-12
FXYD6,-0.75,0.47 (0.39-0.58),50,1.40E-12
E2F7,0.49,1.6 (1.4-1.9),50,1.60E-12
SAMD11,-0.5,0.61 (0.53-0.7),50,1.70E-12
PRICKLE3,0.78,2.2 (1.8-2.7),50,1.90E-12
ABI1,-1.8,0.17 (0.11-0.28),50,2.00E-12
FMOD,0.39,1.5 (1.3-1.7),49,2.60E-12
EVC2,0.48,1.6 (1.4-1.8),49,2.70E-12
ALDOC,-0.58,0.56 (0.48-0.66),49,2.70E-12
NSUN7,0.43,1.5 (1.4-1.7),49,2.80E-12
LUZP2,-0.34,0.71 (0.64-0.78),48,3.40E-12
ZDHHC22,-0.51,0.6 (0.52-0.69),48,3.80E-12
ANKRD53,0.52,1.7 (1.4-1.9),48,4.10E-12
TCEAL2,-0.66,0.52 (0.43-0.62),48,4.40E-12
PPA1,-1.9,0.16 (0.092-0.26),48,4.70E-12
TMEM71,0.5,1.6 (1.4-1.9),48,5.20E-12
ACBD5,-1.7,0.18 (0.11-0.3),47,5.90E-12
TMEM154,0.77,2.2 (1.7-2.7),47,6.90E-12
FAM192A,-2.7,0.069 (0.032-0.15),47,6.90E-12
TCF25,-2,0.14 (0.076-0.24),47,7.20E-12
ACTN4,1.6,4.9 (3.1-7.7),47,7.20E-12
ZMYND11,-1.6,0.19 (0.12-0.31),47,8.50E-12
ACTR1A,-2.1,0.13 (0.069-0.23),46,9.70E-12
NUAK2,0.73,2.1 (1.7-2.6),46,1.00E-11
RAP2A,-1.3,0.28 (0.2-0.41),46,1.10E-11
NDRG2,-0.73,0.48 (0.39-0.59),46,1.40E-11
NCRNA00152,0.62,1.9 (1.6-2.2),46,1.40E-11
CD58,0.85,2.3 (1.8-3),46,1.40E-11
NLGN2,-1.5,0.22 (0.14-0.34),45,1.70E-11
RAB42,0.63,1.9 (1.6-2.3),45,1.80E-11
CCDC46,0.72,2.1 (1.7-2.5),45,1.90E-11
SSC5D,0.69,2 (1.6-2.5),45,2.20E-11
MAPT,-0.93,0.39 (0.3-0.52),44,3.80E-11
CLEC18A,0.63,1.9 (1.6-2.3),43,4.30E-11
PTX3,0.48,1.6 (1.4-1.9),43,5.00E-11
ALDH5A1,-1.1,0.34 (0.24-0.47),43,5.10E-11
VASN,0.43,1.5 (1.4-1.8),43,5.20E-11
OCIAD2,0.54,1.7 (1.5-2),43,5.50E-11
FAM171A1,-1.2,0.29 (0.2-0.42),43,5.80E-11
SULF2,-0.75,0.47 (0.38-0.59),43,5.90E-11
IDI1,-1.3,0.27 (0.18-0.4),43,6.40E-11
CYP27B1,0.44,1.6 (1.4-1.8),42,7.10E-11
TRIM8,-1.8,0.17 (0.1-0.29),42,7.80E-11
C4orf49,0.68,2 (1.6-2.4),42,8.00E-11
PCOLCE,0.66,1.9 (1.6-2.4),42,8.20E-11
CCNY,-2.3,0.1 (0.053-0.21),42,8.30E-11
BEX4,-1.2,0.29 (0.2-0.42),42,8.30E-11
RGR,-0.38,0.68 (0.61-0.76),42,8.50E-11
SAR1A,-2.6,0.074 (0.034-0.16),42,8.80E-11
PGAM1,-1.7,0.18 (0.11-0.3),42,8.80E-11
GABBR1,-0.68,0.51 (0.41-0.62),42,9.10E-11
CCDC8,0.35,1.4 (1.3-1.6),42,9.10E-11
ATP6V1G2,-0.58,0.56 (0.47-0.67),42,9.60E-11
RARRES2,0.38,1.5 (1.3-1.6),42,1.00E-10
TNFRSF12A,0.46,1.6 (1.4-1.8),42,1.10E-10
CCDC109B,0.59,1.8 (1.5-2.1),42,1.10E-10
TMEM220,0.79,2.2 (1.7-2.8),41,1.20E-10
EIF3L,-1.3,0.28 (0.19-0.41),41,1.30E-10
NCAM1,-1.3,0.26 (0.17-0.39),41,1.40E-10
APOBEC3F,0.78,2.2 (1.7-2.8),41,1.60E-10
APOBEC3C,0.77,2.2 (1.7-2.7),41,1.70E-10
PMFBP1,0.71,2 (1.6-2.5),40,2.10E-10
STIL,0.71,2 (1.6-2.5),40,2.30E-10
RAB27A,0.85,2.3 (1.8-3),40,2.40E-10
LOC541471,0.5,1.6 (1.4-1.9),40,2.50E-10
KIF21B,-0.69,0.5 (0.41-0.62),40,2.70E-10
FAM114A1,0.67,2 (1.6-2.4),40,2.80E-10
KIAA1524,1.1,2.9 (2.1-4),40,3.00E-10
GDF10,-0.41,0.67 (0.59-0.76),40,3.00E-10
GALNT3,0.45,1.6 (1.4-1.8),40,3.20E-10
WAC,-1.8,0.16 (0.092-0.29),39,3.30E-10
TTC26,0.69,2 (1.6-2.5),39,3.40E-10
SMAGP,0.89,2.4 (1.8-3.2),39,3.40E-10
ZYX,1,2.8 (2-3.9),39,3.60E-10
C7orf42,1.1,2.9 (2.1-4),39,4.50E-10
MIPOL1,-0.52,0.6 (0.51-0.7),39,4.60E-10
FLJ16779,-0.48,0.62 (0.53-0.72),39,4.80E-10
TNFAIP6,0.45,1.6 (1.4-1.8),39,5.40E-10
PEA15,-1.2,0.3 (0.2-0.43),38,5.60E-10
OAT,-1.6,0.21 (0.13-0.34),38,6.10E-10
ADAM12,0.4,1.5 (1.3-1.7),38,6.20E-10
NFE2L3,0.77,2.2 (1.7-2.8),38,7.00E-10
RPL15,-1.6,0.2 (0.12-0.34),38,7.40E-10
TXN2,-2.1,0.13 (0.066-0.25),38,7.90E-10
GJD3,0.55,1.7 (1.5-2.1),38,8.20E-10
ATP5C1,-2.2,0.11 (0.054-0.22),38,8.40E-10
RBM17,-2.1,0.12 (0.06-0.23),38,8.50E-10
CHAF1B,0.68,2 (1.6-2.5),38,8.50E-10
TCEA3,0.51,1.7 (1.4-2),38,8.60E-10
NNMT,0.32,1.4 (1.2-1.5),38,8.70E-10
CTF1,0.75,2.1 (1.7-2.7),37,9.60E-10
CBS,-0.87,0.42 (0.32-0.55),37,9.70E-10
TUB,-0.87,0.42 (0.32-0.55),37,1.00E-09
SCD5,-0.99,0.37 (0.27-0.51),37,1.10E-09
RPL3,-1.3,0.27 (0.17-0.41),37,1.10E-09
FBXO17,0.48,1.6 (1.4-1.9),37,1.10E-09
NAP1L3,-0.82,0.44 (0.34-0.57),37,1.20E-09
SNAP91,-0.3,0.74 (0.68-0.82),37,1.30E-09
NGFRAP1,-1.8,0.16 (0.088-0.29),37,1.40E-09
C14orf132,-0.55,0.58 (0.48-0.69),37,1.50E-09
SDC1,0.51,1.7 (1.4-2),36,1.60E-09
POLR3H,-1.3,0.26 (0.17-0.4),36,1.70E-09
ENPP1,0.56,1.7 (1.5-2.1),36,1.70E-09
C12orf48,0.81,2.3 (1.7-2.9),36,1.70E-09
RAD54B,0.67,2 (1.6-2.4),36,1.80E-09
TNK2,-0.84,0.43 (0.33-0.57),36,2.00E-09
KCNN4,0.48,1.6 (1.4-1.9),36,2.10E-09
GPM6A,-0.5,0.61 (0.51-0.71),36,2.10E-09
FCHSD2,-1.2,0.31 (0.21-0.46),36,2.20E-09
CALU,0.95,2.6 (1.9-3.5),36,2.20E-09
LOXL4,0.42,1.5 (1.3-1.7),36,2.40E-09
SOX8,-0.44,0.65 (0.56-0.75),36,2.50E-09
AURKA,0.67,1.9 (1.6-2.4),35,2.80E-09
XKR8,0.68,2 (1.6-2.5),35,2.90E-09
ANG,0.56,1.7 (1.5-2.1),35,3.10E-09
ALCAM,-0.74,0.48 (0.37-0.61),35,3.30E-09
CDH2,1.6,4.8 (2.8-8),35,3.40E-09
TEAD3,0.59,1.8 (1.5-2.2),35,3.80E-09
DEAF1,-1,0.36 (0.26-0.51),35,3.80E-09
MOXD1,0.28,1.3 (1.2-1.5),35,3.90E-09
LOC100128977,-0.57,0.57 (0.47-0.69),35,3.90E-09
GRINA,-1.7,0.19 (0.11-0.32),35,3.90E-09
PON1,-0.5,0.61 (0.51-0.72),35,4.00E-09
BRCA2,0.6,1.8 (1.5-2.2),35,4.10E-09
THRA,-1.1,0.32 (0.22-0.47),34,4.50E-09
UQCRB,-1.6,0.2 (0.12-0.34),34,4.60E-09
RINL,0.86,2.4 (1.8-3.1),34,5.00E-09
BANK1,0.48,1.6 (1.4-1.9),34,5.10E-09
GINS4,0.76,2.1 (1.7-2.7),34,5.30E-09
XRCC2,0.67,2 (1.6-2.4),34,6.10E-09
C6orf147,0.73,2.1 (1.6-2.6),34,6.10E-09
LOC151534,0.8,2.2 (1.7-2.9),34,6.30E-09
SPOCK2,-0.81,0.44 (0.34-0.58),34,6.60E-09
C8orf45,-1.1,0.34 (0.24-0.49),34,6.90E-09
PDIA4,0.93,2.5 (1.8-3.5),34,7.10E-09
TM9SF3,-2.2,0.11 (0.05-0.23),33,7.30E-09
CISH,0.56,1.7 (1.4-2.1),33,7.30E-09
APOBEC3G,0.67,2 (1.6-2.5),33,7.30E-09
ITPRIPL1,0.57,1.8 (1.5-2.2),33,8.10E-09
BCR,-0.91,0.4 (0.3-0.55),33,8.10E-09
AVIL,0.5,1.6 (1.4-1.9),33,8.80E-09
APOBEC3D,0.66,1.9 (1.5-2.4),33,8.80E-09
TWIST1,0.48,1.6 (1.4-1.9),33,8.90E-09
GHITM,-1.7,0.18 (0.1-0.33),33,9.10E-09
LDHB,-1.7,0.19 (0.11-0.33),33,9.20E-09
ZNF101,1.6,5.1 (2.9-9),33,9.30E-09
ANXA5,0.86,2.4 (1.8-3.2),33,9.40E-09
ADCY2,-0.74,0.48 (0.37-0.61),33,9.40E-09
PCSK5,0.74,2.1 (1.6-2.7),33,9.50E-09
SCG3,-0.43,0.65 (0.56-0.75),33,1.10E-08
P4HB,1.6,4.8 (2.8-8.3),33,1.10E-08
KIAA0427,-1.3,0.27 (0.17-0.42),33,1.10E-08
RUFY3,-1.2,0.29 (0.19-0.44),33,1.20E-08
FANCA,0.62,1.9 (1.5-2.3),32,1.20E-08
CENPE,0.46,1.6 (1.4-1.9),33,1.20E-08
EXTL3,1.6,5 (2.9-8.8),32,1.30E-08
TMEM159,0.74,2.1 (1.6-2.7),32,1.40E-08
PLCG1,1.5,4.4 (2.6-7.3),32,1.40E-08
CUBN,0.65,1.9 (1.5-2.4),32,1.40E-08
WDR66,0.48,1.6 (1.4-1.9),32,1.50E-08
PNMA1,-1.2,0.3 (0.19-0.45),32,1.50E-08
UPK2,-0.64,0.53 (0.42-0.66),32,1.60E-08
MYO9B,1.3,3.7 (2.4-5.9),32,1.60E-08
FADS1,-1.3,0.28 (0.18-0.44),32,1.60E-08
EMILIN2,0.47,1.6 (1.4-1.9),32,1.60E-08
CSNK1E,-1.3,0.27 (0.17-0.43),32,1.60E-08
RPS24,-1.2,0.3 (0.2-0.46),32,1.70E-08
GRIA3,-0.51,0.6 (0.5-0.72),32,1.70E-08
DPP4,0.44,1.6 (1.3-1.8),32,1.70E-08
CXorf1,-0.49,0.61 (0.52-0.73),32,1.70E-08
ADAMTSL4,0.51,1.7 (1.4-2),32,1.70E-08
KIF4A,0.43,1.5 (1.3-1.8),32,1.80E-08
ZCCHC24,-0.92,0.4 (0.29-0.55),32,1.90E-08
POLQ,0.48,1.6 (1.4-1.9),32,1.90E-08
PSTK,-1.2,0.31 (0.2-0.46),31,2.20E-08
CCT6A,0.76,2.1 (1.6-2.8),31,2.20E-08
TPM4,1,2.8 (1.9-3.9),31,2.30E-08
NKAIN4,-0.51,0.6 (0.5-0.72),31,2.30E-08
LSP1,0.48,1.6 (1.4-1.9),31,2.30E-08
JPH4,-0.37,0.69 (0.61-0.79),31,2.30E-08
RPL4,-1.2,0.31 (0.21-0.47),31,2.50E-08
NCSTN,2.4,11 (4.6-24),31,2.50E-08
TRAK1,-1.4,0.24 (0.14-0.4),31,2.60E-08
SPON1,-0.37,0.69 (0.6-0.78),31,2.60E-08
LOC100132215,0.63,1.9 (1.5-2.3),31,2.60E-08
CDCA8,0.46,1.6 (1.3-1.9),31,2.60E-08
LSAMP,-1.1,0.34 (0.23-0.5),31,2.80E-08
LOC100129534,0.85,2.3 (1.7-3.1),31,2.80E-08
SCD,-0.64,0.53 (0.42-0.66),31,2.90E-08
LPIN3,0.48,1.6 (1.4-1.9),31,2.90E-08
RTN1,-0.54,0.58 (0.48-0.71),31,3.00E-08
MYH9,1.2,3.4 (2.2-5.3),31,3.00E-08
ERCC6L,0.54,1.7 (1.4-2.1),31,3.10E-08
ZFYVE20,-1.5,0.21 (0.12-0.37),31,3.20E-08
CFB,0.54,1.7 (1.4-2.1),30,3.30E-08
SHCBP1,0.56,1.8 (1.4-2.1),30,3.40E-08
PPIF,-1.1,0.35 (0.24-0.51),30,3.40E-08
DGCR2,-1.2,0.29 (0.19-0.45),30,3.40E-08
CIRBP,-1.7,0.19 (0.1-0.34),30,3.50E-08
ARFGAP2,-1.5,0.23 (0.14-0.39),30,3.50E-08
CA3,0.23,1.3 (1.2-1.4),30,3.60E-08
C13orf29,0.64,1.9 (1.5-2.4),30,3.60E-08
RARRES1,0.54,1.7 (1.4-2.1),30,4.20E-08
CDNF,-0.73,0.48 (0.37-0.63),30,4.20E-08
DGCR9,-0.57,0.57 (0.46-0.69),30,4.30E-08
HGF,0.37,1.4 (1.3-1.6),30,4.50E-08
CLCF1,0.35,1.4 (1.3-1.6),30,4.90E-08
BAZ1B,1.9,6.8 (3.4-14),30,4.90E-08
NCOA4,-1.6,0.19 (0.11-0.35),30,5.10E-08
KIF18A,0.49,1.6 (1.4-2),30,5.10E-08
CASP8,0.69,2 (1.6-2.6),30,5.10E-08
C5orf39,0.64,1.9 (1.5-2.4),30,5.20E-08
SGMS2,0.5,1.6 (1.4-2),30,5.50E-08
KIF14,0.45,1.6 (1.3-1.9),29,5.60E-08
SEC24C,-2,0.14 (0.067-0.28),29,6.20E-08
RDH5,0.58,1.8 (1.4-2.2),29,6.20E-08
CYP2E1,-0.45,0.64 (0.54-0.75),29,7.10E-08
KDELR3,0.47,1.6 (1.3-1.9),29,7.60E-08
ENHO,-0.56,0.57 (0.47-0.7),29,7.80E-08
LOC100132707,0.67,2 (1.5-2.5),29,7.90E-08
PKIB,0.44,1.6 (1.3-1.8),29,8.10E-08
CALD1,0.87,2.4 (1.7-3.3),29,8.30E-08
WDR62,0.46,1.6 (1.3-1.9),29,8.50E-08
DDIT4L,0.27,1.3 (1.2-1.4),29,8.70E-08
CLEC18B,0.42,1.5 (1.3-1.8),29,8.70E-08
C11orf82,0.59,1.8 (1.5-2.2),28,9.50E-08
ASPM,0.38,1.5 (1.3-1.7),28,9.90E-08
ZNF552,1.5,4.3 (2.5-7.5),28,1.00E-07
GBF1,-1.4,0.25 (0.15-0.42),28,1.00E-07
PPP2R5C,-1.6,0.21 (0.12-0.37),28,1.10E-07
KLHDC3,-1.7,0.18 (0.093-0.34),28,1.10E-07
KIF23,0.4,1.5 (1.3-1.7),28,1.10E-07
DLL3,-0.28,0.76 (0.68-0.84),28,1.10E-07
CRY2,-0.75,0.47 (0.36-0.62),28,1.10E-07
ARSE,0.5,1.7 (1.4-2),28,1.10E-07
SDF4,1.5,4.5 (2.6-7.8),28,1.20E-07
PPP2R5A,-0.8,0.45 (0.33-0.6),28,1.20E-07
CTDSP2,0.99,2.7 (1.9-3.9),28,1.20E-07
LOC650368,0.77,2.2 (1.6-2.9),28,1.30E-07
CDC20,0.41,1.5 (1.3-1.8),28,1.30E-07
ST13,-1.5,0.23 (0.14-0.4),28,1.40E-07
MSMP,0.58,1.8 (1.4-2.2),28,1.40E-07
LRIG1,-0.67,0.51 (0.4-0.66),28,1.40E-07
KIF24,0.7,2 (1.6-2.6),28,1.40E-07
CHEK2,0.75,2.1 (1.6-2.8),28,1.40E-07
SERPINA3,0.32,1.4 (1.2-1.6),28,1.50E-07
LOC100129034,0.92,2.5 (1.8-3.6),28,1.50E-07
C1orf61,-0.56,0.57 (0.46-0.7),28,1.50E-07
RTN3,-1.4,0.26 (0.16-0.43),27,1.60E-07
PABPC4L,0.59,1.8 (1.4-2.2),27,1.60E-07
OPHN1,-0.65,0.52 (0.41-0.66),27,1.60E-07
C11orf63,0.32,1.4 (1.2-1.5),27,1.60E-07
OMG,-0.66,0.52 (0.4-0.66),27,1.70E-07
ZBTB47,-1,0.36 (0.25-0.53),27,1.80E-07
TK1,0.47,1.6 (1.3-1.9),27,1.80E-07
CTHRC1,0.43,1.5 (1.3-1.8),27,1.90E-07
PSIP1,-1.5,0.22 (0.12-0.39),27,2.00E-07
PLBD1,0.52,1.7 (1.4-2.1),27,2.00E-07
NACA,-1.5,0.21 (0.12-0.38),27,2.00E-07
MT1L,0.51,1.7 (1.4-2),27,2.00E-07
CDKN3,0.5,1.7 (1.4-2),27,2.00E-07
ZNF530,1,2.7 (1.9-4),27,2.20E-07
UBXN1,-1.4,0.25 (0.15-0.42),27,2.20E-07
TTC12,0.44,1.6 (1.3-1.8),27,2.20E-07
BASP1,-0.59,0.56 (0.44-0.69),27,2.20E-07
CASP4,0.59,1.8 (1.4-2.2),27,2.30E-07
PFN2,-0.92,0.4 (0.28-0.57),27,2.40E-07
OS9,0.92,2.5 (1.8-3.6),27,2.40E-07
SLC22A17,-1.1,0.35 (0.23-0.52),27,2.50E-07
CARD16,0.45,1.6 (1.3-1.9),27,2.50E-07
WDR86,-0.52,0.6 (0.49-0.73),27,2.60E-07
TRAM1,1.2,3.4 (2.1-5.4),27,2.60E-07
TMEM194B,0.99,2.7 (1.8-3.9),26,2.60E-07
PID1,-0.6,0.55 (0.43-0.69),26,2.60E-07
MBNL3,0.51,1.7 (1.4-2),27,2.60E-07
EXO1,0.43,1.5 (1.3-1.8),27,2.60E-07
ASF1B,0.43,1.5 (1.3-1.8),27,2.60E-07
ITGB3,0.44,1.6 (1.3-1.8),26,2.70E-07
TTYH3,0.61,1.8 (1.5-2.3),26,2.80E-07
FANCB,0.7,2 (1.5-2.6),26,2.80E-07
RPS2P32,0.5,1.6 (1.4-2),26,2.90E-07
ARNTL2,0.5,1.7 (1.4-2),26,2.90E-07
ALDH2,-0.86,0.42 (0.3-0.59),26,3.20E-07
CCDC18,0.55,1.7 (1.4-2.2),26,3.30E-07
ABLIM1,-0.95,0.39 (0.27-0.56),26,3.30E-07
SUSD2,0.52,1.7 (1.4-2.1),26,3.40E-07
X9.Sep,1.2,3.4 (2.1-5.4),26,3.50E-07
NAP1L1,-1.6,0.21 (0.11-0.38),26,3.50E-07
LOXL1,0.29,1.3 (1.2-1.5),26,3.50E-07
SLC5A12,-0.59,0.56 (0.44-0.7),26,3.60E-07
C20orf203,-0.64,0.53 (0.41-0.68),26,3.60E-07
RGMB,-0.72,0.49 (0.37-0.64),26,3.70E-07
CPE,-0.56,0.57 (0.46-0.71),26,3.70E-07
AP2B1,-1.6,0.2 (0.11-0.38),26,3.70E-07
GABBR2,-0.42,0.66 (0.56-0.77),26,3.90E-07
ADAMTS3,0.35,1.4 (1.2-1.6),26,3.90E-07
AP1S3,0.66,1.9 (1.5-2.5),26,4.30E-07
HSPB7,0.49,1.6 (1.4-2),25,4.60E-07
RPS25,-1.1,0.33 (0.21-0.51),25,4.70E-07
GDI2,-1.5,0.22 (0.12-0.39),25,4.70E-07
SERP1,-2,0.13 (0.06-0.29),25,4.90E-07
PLK4,0.59,1.8 (1.4-2.3),25,4.90E-07
FAM78B,0.64,1.9 (1.5-2.4),25,5.00E-07
CDC6,0.5,1.7 (1.4-2),25,5.10E-07
ADAM33,0.39,1.5 (1.3-1.7),25,5.30E-07
GNS,0.94,2.6 (1.8-3.7),25,5.50E-07
NUCB1,1.3,3.6 (2.2-5.9),25,5.70E-07
ADD1,-1.6,0.21 (0.11-0.38),25,5.80E-07
ACAP1,0.48,1.6 (1.3-2),25,5.80E-07
IMPDH2,-0.89,0.41 (0.29-0.58),25,5.90E-07
C14orf50,0.5,1.6 (1.4-2),25,6.00E-07
FAM65C,0.47,1.6 (1.3-1.9),25,6.10E-07
CD63,0.99,2.7 (1.8-4),25,6.10E-07
